date,count
2017-01-01,648
2017-02-01,802
2017-03-01,1140
2017-04-01,1232
2017-05-01,592
2017-06-01,386
2017-07-01,339
2017-08-01,300
2017-09-01,285
2017-10-01,284
2017-11-01,393
2017-12-01,432
2018-01-01,785
2018-02-01,580
2018-03-01,589
2018-04-01,552
2018-05-01,439
2018-06-01,338
2018-07-01,276
2018-08-01,249
2018-09-01,213
2018-10-01,280
2018-11-01,268
2018-12-01,419
2019-01-01,523
2019-02-01,724
2019-03-01,747
2019-04-01,558
2019-05-01,427
2019-06-01,326
2019-07-01,356
2019-08-01,323
2019-09-01,316
2019-10-01,339
2019-11-01,343
2019-12-01,520
2020-01-01,836
2020-02-01,923
2020-03-01,432
2020-04-01,296
2020-05-01,279
2020-06-01,302
2020-07-01,246
2020-08-01,243
2020-09-01,221
2020-10-01,256
2020-11-01,303
2020-12-01,389
2021-01-01,625
2021-02-01,464
2021-03-01,569
2021-04-01,422
2021-05-01,341
2021-06-01,348
2021-07-01,288
2021-08-01,285
2021-09-01,257
2021-10-01,305
2021-11-01,523
2021-12-01,449
2022-01-01,1381
2022-02-01,518
2022-03-01,979
